iter	Passed	Remaining
0	10	10270
1	22	11039
2	34	11539
3	44	11154
4	55	11102
5	66	11030
6	77	10975
7	88	11015
8	99	10990
9	109	10865
10	120	10822
11	131	10804
12	141	10752
13	157	11102
14	167	10972
15	183	11279
16	192	11159
17	204	11141
18	223	11554
19	237	11622
20	246	11509
21	258	11494
22	269	11438
23	280	11388
24	291	11355
25	302	11326
26	313	11296
27	324	11255
28	335	11237
29	346	11210
30	357	11163
31	369	11192
32	381	11173
33	392	11154
34	403	11130
35	418	11210
36	429	11175
37	440	11144
38	450	11107
39	461	11067
40	472	11053
41	482	11013
42	493	10981
43	503	10944
44	515	10945
45	526	10919
46	538	10914
47	549	10905
48	560	10887
49	573	10893
50	584	10885
51	595	10863
52	606	10837
53	617	10825
54	629	10817
55	639	10783
56	650	10759
57	661	10742
58	673	10733
59	685	10735
60	695	10704
61	705	10679
62	716	10663
63	727	10644
64	738	10628
65	750	10622
66	760	10594
67	771	10576
68	782	10560
69	791	10519
70	803	10507
71	814	10502
72	826	10494
73	835	10456
74	846	10439
75	856	10418
76	868	10410
77	879	10401
78	890	10383
79	901	10372
80	912	10351
81	922	10324
82	932	10306
83	942	10280
84	985	10603
85	997	10596
86	1009	10595
87	1020	10578
88	1032	10568
89	1042	10543
90	1055	10539
91	1066	10526
92	1077	10508
93	1087	10484
94	1097	10451
95	1107	10431
96	1118	10415
97	1129	10393
98	1140	10377
99	1150	10355
100	1161	10336
101	1172	10320
102	1183	10308
103	1194	10289
104	1204	10270
105	1219	10287
106	1229	10263
107	1240	10243
108	1251	10228
109	1261	10209
110	1274	10204
111	1284	10181
112	1294	10164
113	1306	10153
114	1316	10129
115	1328	10124
116	1340	10116
117	1350	10092
118	1360	10071
119	1371	10060
120	1382	10046
121	1393	10029
122	1404	10013
123	1414	9993
124	1425	9978
125	1435	9958
126	1446	9944
127	1458	9934
128	1469	9923
129	1481	9913
130	1491	9896
131	1502	9879
132	1513	9865
133	1523	9844
134	1532	9819
135	1543	9806
136	1553	9787
137	1564	9774
138	1578	9776
139	1590	9771
140	1606	9785
141	1621	9796
142	1633	9791
143	1644	9778
144	1654	9757
145	1665	9744
146	1676	9725
147	1685	9704
148	1696	9691
149	1707	9675
150	1718	9660
151	1729	9646
152	1739	9629
153	1749	9610
154	1760	9599
155	1771	9582
156	1782	9571
157	1793	9558
158	1804	9543
159	1815	9528
160	1825	9515
161	1837	9503
162	1848	9492
163	1859	9480
164	1869	9459
165	1880	9448
166	1891	9436
167	1902	9419
168	1913	9408
169	1924	9394
170	1934	9377
171	1945	9364
172	1956	9352
173	1966	9334
174	1976	9319
175	1987	9305
176	1997	9288
177	2008	9276
178	2022	9275
179	2033	9262
180	2043	9244
181	2053	9228
182	2063	9210
183	2073	9193
184	2083	9178
185	2094	9166
186	2105	9153
187	2115	9136
188	2127	9130
189	2138	9118
190	2149	9104
191	2160	9091
192	2171	9077
193	2181	9063
194	2192	9051
195	2204	9044
196	2215	9028
197	2225	9016
198	2236	9003
199	2248	8995
200	2259	8983
201	2269	8966
202	2279	8951
203	2291	8939
204	2301	8923
205	2311	8911
206	2323	8900
207	2333	8883
208	2344	8871
209	2354	8856
210	2364	8841
211	2374	8826
212	2384	8811
213	2395	8797
214	2406	8786
215	2419	8783
216	2430	8771
217	2442	8761
218	2452	8745
219	2463	8735
220	2474	8722
221	2485	8710
222	2495	8696
223	2506	8684
224226	2521	85225	2528	8659
226	2540	8650
227	2552	8642
228	2563	8630
229	2574	8617
230	2585	8606
231	2595	8592
232	2606	8580
233	2235	2620	23423236	2631	235	2237	2642	236	2238	2653	23723239	2664	23824240	2675	23924241	2687	24024242	2699	241	2243	2711	242	2244	2721	243	2245	2732	244	2246	2744	245	2247	2754	246	2248	2764	247	2249	2775	248	2250	2786	24925251	2797	25025252	2811	25125253	2822	25225254	2833	25325255	2844	25425256	2855	25525257	2864	256	2258	2876	257	2259	2887	25826260	2898	259	2261	2909	260	2262	2920	261	2263	2930	262	2264	2941	263	2265	2951	264	2266	2963	265	2267	2973	266	2268	2984	267	2269	2996	268	2270	3006	269	3271	3016	270	3272	3027	271	3273	3038	272	3274	3049	273	3275	3060	274	3276	3072	275	3277	3084	276	3278	3096	277	3279	3104	278	3280	3115	279	3281	3126	280	3282	3137	281	3283	3148	28228284	3158	28328285	3169	284	3286	3180	285	3287	3192	28628288	3204	78828289	3217	78729290	3227	78629291	3237	29029292	3248	29129293	3259	29229294	3271	78129295	3283	78029296	3295	78029297	3307	7790
298	3317	7778
299	3328	7766
300	3340	7756
301	3352	7747
302	3362	7734
303	3372	7721
304	3383	7710
305	3393	76930306	3403	76830307	3414	76730308	3426	76630309	3437	76531310	3449	76431311	3460	76331312	3470	76131313	3481	76031314	3494	75931315	3504	75831316	3515	75731317	3527	75631318	3537	75531319	3548	75332320	3559	75232321	3569	75132322	3582	7508
323	3593	7498
324	3606	7491
325	3618	7481
326	3629	7470
327	3640	7459
328	3651	7447
329	3661	7434
330	3673	7423
331	3684	7412
332	3695	7401
333	3705	7389
334	3716	7377
335	3727	7365
336	3738	7355
337	3748	7341
338	3759	7329
339	3770	7319
340	3781	7308
341	3793	7297
342	3805	7289
343	3816	7277
344	3828	7268
345	3838	7255
346	3848	7243
347	3861	7234
348	3871	7222
349	3883	7212
350	3894	7201
351	3906	7191
352	3916	7178
353	3927	7168
354	3939	7156
355	3949	7145
356	3960	7133
357	3971	7122
358	3982	7111
359	3993	7099
360	4005	7090
361	4016	7078
362	4027	7066
363	4038	7057
364	4050	7047
365	4061	7034
366	4072	7023
367	4083	7013
368	4095	7002
369	4105	6991
370	4116	6979
371	4126	6966
372	4136	6953
373	4147	6941
374	4157	6929
375	4168	6918
376	4179	6906
377	4190	6894
378	4201	6883
379	4212	6872
380	4223	6861
381	4234	6849
382	4243	6836
383	4254	6824
384	4265	6813
385	4276	6803
386	4287	6790
387	4297	6778
388	4309	6769
389	4320	6757
390	4330	6744
391	4341	6733
392	4352	6722
393	4363	6710
394	4374	6699
395	4383	6686
396	4395	6675
397	4408	6667
398	4420	6657
399	4430	6646
400	4440	6633
401	4451	6621
402	4461	6609
403	4471	6596
404	4482	6585
405	4493	6573
406	4504	6563
407	4515	6552
408	4526	6540
409	4536	6528
410	4547	6516
411	4557	6503
412	4568	6493
413	4579	6482
414	4591	6471
415	4602	6461
416	4613	6449
417	4624	6438
418	4636	6429
419	4647	6418
420	4658	6406
421	4668	6394
422	4679	6383
423	4691	6372
424	4702	6361
425	4713	6350
426	4724	6340
427	4734	6328
428	4745	6316
429	4755	6304
430	4766	6292
431	4776	6280
432	4788	6270
433	4799	6258
434	4813	6251
435	4824	6241
436	4835	6230
437	4847	6219
438	4858	6208
439	4869	6196
440	4879	6185
441	4890	6173
442	4901	6162
443	4912	6151
444	4922	6138
445	4932	6127
446	4943	6115
447	4954	6104
448	4964	6092
449	4976	6082
450	4987	6071
451	4998	6059
452	5008	6048
453	5019	6036
454	5030	6025
455	5041	6014
456	5052	6003
457	5064	5993
458	5075	5981
459	5085	5969
460	5096	5959
461	5107	5947
462	5117	5935
463	5129	5925
464	5139	5912
465	5149	5900
466	5160	5889
467	5171	5879
468	5182	5867
469	5193	5856
470	5204	5845
471	5216	5835
472	5227	5824
473	5238	5813
474	5249	5801
475	5259	5790
476	5270	5778
477	5281	5767
478	5291	5755
479	5303	5745
480	5314	5734
481	5324	5722
482	5336	5712
483	5348	5702
484	5359	5690
485	5369	5679
486	5381	5668
487	5391	5657
488	5403	5646
489	5413	5634
490	5425	5624
491	5436	5613
492	5446	5601
493	5457	5589
494	5468	5578
495	5479	5567
496	5489	5556
497	5499	5543
498	5510	5533
499	5522	5522
500	5533	5511
501	5543	5499
502	5553	5487
503	5563	5474
504	5574	5463
505	5583	5451
506	5594	5440
507	5607	5430
508	5618	5419
509	5629	5409
510	5641	5398
511	5651	5386
512	5663	5376
513	5674	5365
514	5684	5353
515	5694	5341
516	5706	5330
517	5717	5320
518	5728	5308
519	5738	5296
520	5749	5285
